Bevölkerung nach Alter, Geschlecht und Gemeinden, 2012-2015 | population by age, sex and lau2, 2012-2015;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;AGE_GROUP;POP_TOTAL;POP_MALE;POP_FEMALE;YEAR
AT1;AT12;AT124;30101;Krems an der Donau;5_9;950;486;464;2015
AT1;AT12;AT124;30101;Krems an der Donau;10_14;971;484;487;2015
AT1;AT12;AT124;30101;Krems an der Donau;15_19;1184;591;593;2015
AT1;AT12;AT124;30101;Krems an der Donau;20_24;1512;743;769;2015
AT1;AT12;AT124;30101;Krems an der Donau;25_29;1608;868;740;2015
AT1;AT12;AT124;30101;Krems an der Donau;30_34;1580;871;709;2015
AT1;AT12;AT124;30101;Krems an der Donau;35_39;1398;719;679;2015
AT1;AT12;AT124;30101;Krems an der Donau;40_44;1624;831;793;2015
AT1;AT12;AT124;30101;Krems an der Donau;45_49;1924;981;943;2015
AT1;AT12;AT124;30101;Krems an der Donau;50_54;2014;983;1031;2015
AT1;AT12;AT124;30101;Krems an der Donau;55_59;1772;844;928;2015
AT1;AT12;AT124;30101;Krems an der Donau;60_64;1405;649;756;2015
AT1;AT12;AT124;30101;Krems an der Donau;65_69;1280;595;685;2015
AT1;AT12;AT124;30101;Krems an der Donau;70_74;1463;684;779;2015
AT1;AT12;AT124;30101;Krems an der Donau;75_79;940;392;548;2015
AT1;AT12;AT124;30101;Krems an der Donau;80_84;700;258;442;2015
AT1;AT12;AT124;30101;Krems an der Donau;85_89;511;152;359;2015
AT1;AT12;AT124;30101;Krems an der Donau;90_94;252;66;186;2015
AT1;AT12;AT124;30101;Krems an der Donau;95_;39;4;35;2015
AT1;AT12;AT123;30201;St. Pölten;0_4;2397;1237;1160;2015
AT1;AT12;AT123;30201;St. Pölten;5_9;2417;1233;1184;2015
AT1;AT12;AT123;30201;St. Pölten;10_14;2601;1360;1241;2015
AT1;AT12;AT123;30201;St. Pölten;15_19;2726;1456;1270;2015
AT1;AT12;AT123;30201;St. Pölten;20_24;3238;1681;1557;2015
AT1;AT12;AT123;30201;St. Pölten;25_29;3363;1706;1657;2015
AT1;AT12;AT123;30201;St. Pölten;30_34;3504;1795;1709;2015
AT1;AT12;AT123;30201;St. Pölten;35_39;3183;1577;1606;2015
AT1;AT12;AT123;30201;St. Pölten;40_44;3657;1815;1842;2015
AT1;AT12;AT123;30201;St. Pölten;45_49;4449;2206;2243;2015
AT1;AT12;AT123;30201;St. Pölten;50_54;4283;2133;2150;2015
AT1;AT12;AT123;30201;St. Pölten;55_59;3488;1698;1790;2015
AT1;AT12;AT123;30201;St. Pölten;60_64;2983;1395;1588;2015
AT1;AT12;AT123;30201;St. Pölten;65_69;2636;1180;1456;2015
AT1;AT12;AT123;30201;St. Pölten;70_74;2799;1262;1537;2015
AT1;AT12;AT123;30201;St. Pölten;75_79;1999;885;1114;2015
AT1;AT12;AT123;30201;St. Pölten;80_84;1409;570;839;2015
AT1;AT12;AT123;30201;St. Pölten;85_89;1044;355;689;2015
AT1;AT12;AT123;30201;St. Pölten;90_94;487;115;372;2015
AT1;AT12;AT123;30201;St. Pölten;95_;84;14;70;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;0_4;564;298;266;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;5_9;560;286;274;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;10_14;627;329;298;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;15_19;691;351;340;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;20_24;754;405;349;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;25_29;640;330;310;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;30_34;669;330;339;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;35_39;641;326;315;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;40_44;733;352;381;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;45_49;867;461;406;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;50_54;872;424;448;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;55_59;755;360;395;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;60_64;616;299;317;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;65_69;508;248;260;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;70_74;563;250;313;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;75_79;466;203;263;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;80_84;348;130;218;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;85_89;261;88;173;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;90_94;150;41;109;2015
AT1;AT12;AT121;30301;Waidhofen an der Ybbs;95_;21;4;17;2015
AT1;AT12;AT122;30401;Wiener Neustadt;0_4;2270;1128;1142;2015
AT1;AT12;AT122;30401;Wiener Neustadt;5_9;2152;1098;1054;2015
AT1;AT12;AT122;30401;Wiener Neustadt;10_14;2143;1153;990;2015
AT1;AT12;AT122;30401;Wiener Neustadt;15_19;2330;1192;1138;2015
AT1;AT12;AT122;30401;Wiener Neustadt;20_24;2901;1475;1426;2015
AT1;AT12;AT122;30401;Wiener Neustadt;25_29;3110;1569;1541;2015
AT1;AT12;AT122;30401;Wiener Neustadt;30_34;3181;1628;1553;2015
AT1;AT12;AT122;30401;Wiener Neustadt;35_39;2836;1437;1399;2015
AT1;AT12;AT122;30401;Wiener Neustadt;40_44;2971;1440;1531;2015
AT1;AT12;AT122;30401;Wiener Neustadt;45_49;3511;1724;1787;2015
AT1;AT12;AT122;30401;Wiener Neustadt;50_54;3319;1664;1655;2015
AT1;AT12;AT122;30401;Wiener Neustadt;55_59;2703;1300;1403;2015
AT1;AT12;AT122;30401;Wiener Neustadt;60_64;2173;1009;1164;2015
AT1;AT12;AT122;30401;Wiener Neustadt;65_69;2020;882;1138;2015
AT1;AT12;AT122;30401;Wiener Neustadt;70_74;2136;981;1155;2015
AT1;AT12;AT122;30401;Wiener Neustadt;75_79;1296;559;737;2015
AT1;AT12;AT122;30401;Wiener Neustadt;80_84;954;361;593;2015
AT1;AT12;AT122;30401;Wiener Neustadt;85_89;654;228;426;2015
AT1;AT12;AT122;30401;Wiener Neustadt;90_94;292;69;223;2015
AT1;AT12;AT122;30401;Wiener Neustadt;95_;50;10;40;2015
AT1;AT12;AT121;30501;Allhartsberg;0_4;116;49;67;2015
AT1;AT12;AT121;30501;Allhartsberg;5_9;137;74;63;2015
AT1;AT12;AT121;30501;Allhartsberg;10_14;134;71;63;2015
AT1;AT12;AT121;30501;Allhartsberg;15_19;125;65;60;2015
AT1;AT12;AT121;30501;Allhartsberg;20_24;119;67;52;2015
AT1;AT12;AT121;30501;Allhartsberg;25_29;135;68;67;2015
AT1;AT12;AT121;30501;Allhartsberg;30_34;151;71;80;2015
AT1;AT12;AT121;30501;Allhartsberg;35_39;150;74;76;2015
AT1;AT12;AT121;30501;Allhartsberg;40_44;167;85;82;2015
AT1;AT12;AT121;30501;Allhartsberg;45_49;134;74;60;2015
AT1;AT12;AT121;30501;Allhartsberg;50_54;163;87;76;2015
AT1;AT12;AT121;30501;Allhartsberg;55_59;145;67;78;2015
AT1;AT12;AT121;30501;Allhartsberg;60_64;111;54;57;2015
AT1;AT12;AT121;30501;Allhartsberg;65_69;90;47;43;2015
AT1;AT12;AT121;30501;Allhartsberg;70_74;67;35;32;2015
AT1;AT12;AT121;30501;Allhartsberg;75_79;54;27;27;2015
AT1;AT12;AT121;30501;Allhartsberg;80_84;51;20;31;2015
AT1;AT12;AT121;30501;Allhartsberg;85_89;41;20;21;2015
AT1;AT12;AT121;30501;Allhartsberg;90_94;6;1;5;2015
AT1;AT12;AT121;30501;Allhartsberg;95_;1;0;1;2015
AT1;AT12;AT121;30502;Amstetten;0_4;1099;574;525;2015
AT1;AT12;AT121;30502;Amstetten;5_9;1120;582;538;2015
AT1;AT12;AT121;30502;Amstetten;10_14;1072;532;540;2015
AT1;AT12;AT121;30502;Amstetten;15_19;1293;675;618;2015
AT1;AT12;AT121;30502;Amstetten;20_24;1522;790;732;2015
AT1;AT12;AT121;30502;Amstetten;25_29;1573;798;775;2015
AT1;AT12;AT121;30502;Amstetten;30_34;1494;767;727;2015
AT1;AT12;AT121;30502;Amstetten;35_39;1290;643;647;2015
AT1;AT12;AT121;30502;Amstetten;40_44;1549;772;777;2015
AT1;AT12;AT121;30502;Amstetten;45_49;1968;988;980;2015
